areacode,owned_outright,owned_mortgage,private_rented,social_rented
S00152183,22,19,2,1
S00152184,31,26,9,2
S00152185,12,32,11,1
S00152186,21,26,12,3
S00152187,11,5,8,10
S00152188,26,8,2,0
S00152189,13,7,7,32
S00152190,25,75,4,7
S00152191,9,10,4,17
S00152192,22,16,5,18
S00152193,19,22,2,7
S00152194,18,12,3,8
S00152195,15,22,1,1
S00152196,26,20,2,4
S00152197,23,23,3,2
S00152198,22,18,5,20
S00152199,23,8,3,8
S00152200,16,14,0,27
S00152201,9,7,0,24
S00152202,35,20,1,3
S00152203,13,10,3,8
S00152204,17,18,0,20
S00152205,15,13,4,13
S00152206,6,18,11,20
S00152207,13,10,1,18
S00152208,17,16,3,14
S00152209,27,33,2,1
S00152210,13,52,6,3
S00152211,14,21,3,7
S00152212,16,37,3,3
S00152213,21,20,1,1
S00152214,18,9,10,7
S00152215,12,10,6,3
S00152216,22,24,3,6
S00152217,29,15,2,3
S00152218,39,38,2,0
S00152219,9,54,3,0
S00152220,3,54,0,2
S00152221,0,45,1,1
S00152222,14,49,3,1
S00152223,2,32,1,1
S00152224,31,37,10,4
S00152225,25,20,1,2
S00152226,6,49,0,1
S00152227,2,46,3,2
S00152228,9,32,0,2
S00152229,6,34,0,1
S00152230,8,38,0,1
S00152231,8,48,2,0
S00152232,29,37,4,0
S00152233,8,60,1,2
S00152234,21,56,1,0
S00152235,13,23,10,3
S00152236,9,50,0,4
S00152237,22,51,4,1
S00152238,8,47,1,0
S00152239,15,50,6,0
S00152240,10,28,26,4
S00152241,6,21,13,1
S00152242,38,12,3,1
S00152243,8,39,1,8
S00152244,1,33,1,2
S00152245,0,4,5,43
S00152246,21,30,12,1
S00152247,18,32,5,2
S00152248,6,37,9,2
S00152249,12,10,1,42
S00152250,3,47,0,1
S00152251,1,3,4,38
S00152252,14,32,12,11
S00152253,16,8,12,42
S00152254,35,22,7,3
S00152255,13,23,11,6
S00152256,25,19,0,1
S00152257,18,19,13,0
S00152258,25,27,4,0
S00152259,50,20,1,1
S00152260,14,10,1,3
S00152261,32,21,2,2
S00152262,17,16,0,0
S00152263,24,35,2,0
S00152264,16,31,4,1
S00152265,21,11,4,10
S00152266,18,15,3,1
S00152267,24,31,5,6
S00152268,16,16,1,29
S00152269,5,16,5,8
S00152270,32,15,0,3
S00152271,10,56,3,1
S00152272,25,35,1,4
S00152273,31,8,5,19
S00152274,24,23,0,1
S00152275,11,37,3,0
S00152276,3,19,13,2
S00152277,36,30,1,1
S00152278,21,10,0,1
S00152279,21,18,3,8
S00152280,30,13,0,5
S00152281,10,32,24,1
S00152282,17,32,1,5
S00152283,36,22,2,0
S00152284,32,22,5,3
S00152285,20,14,4,26
S00152286,35,16,1,3
S00152287,9,27,10,5
S00152288,10,33,1,1
S00152289,28,11,1,1
S00152290,12,13,3,14
S00152291,25,10,7,3
S00152292,19,16,3,1
S00152293,30,27,1,0
S00152294,27,19,2,2
S00152295,23,11,1,9
S00152296,17,24,2,7
S00152297,12,12,2,8
S00152298,24,9,3,1
S00152299,42,19,12,3
S00152300,19,14,8,25
S00152301,29,11,8,1
S00152302,10,17,1,1
S00152303,17,22,3,15
S00152304,8,8,1,19
S00152305,30,17,2,17
S00152306,49,9,4,4
S00152307,15,16,4,16
S00152308,19,26,5,12
S00152309,22,17,13,30
S00152310,14,10,0,22
S00152311,13,17,2,20
S00152312,11,17,0,9
S00152313,21,15,0,2
S00152314,25,14,2,5
S00152315,20,7,2,23
S00152316,15,16,3,26
S00152317,28,14,0,7
S00152318,13,11,2,14
S00152319,8,18,9,13
S00152320,10,16,1,11
S00152321,12,11,2,18
S00152322,15,18,2,1
S00152323,11,13,1,30
S00152324,11,11,10,22
S00152325,18,15,13,8
S00152326,23,10,0,0
S00152327,37,26,2,0
S00152328,19,13,2,17
S00152329,11,15,3,25
S00152330,15,12,6,31
S00152331,35,12,0,2
S00152332,21,16,4,26
S00152333,12,8,1,10
S00152334,20,3,6,21
S00152335,19,25,1,5
S00152336,18,34,1,1
S00152337,20,21,2,18
S00152338,30,23,3,20
S00152339,31,9,1,0
S00152340,47,20,0,1
S00152341,18,22,4,35
S00152342,3,7,1,31
S00152343,16,10,1,21
S00152344,11,14,2,10
S00152345,21,33,4,4
S00152346,35,14,2,1
S00152347,5,10,0,31
S00152348,20,10,3,23
S00152349,15,17,3,10
S00152350,15,18,10,17
S00152351,15,8,4,3
S00152352,26,20,0,12
S00152353,31,12,2,0
S00152354,10,14,3,12
S00152355,47,20,2,4
S00152356,11,19,2,25
S00152357,23,17,3,0
S00152358,14,24,27,1
S00152359,9,14,3,18
S00152360,18,27,4,4
S00152361,14,31,5,18
S00152362,23,19,5,19
S00152363,5,9,5,16
S00152364,16,36,11,0
S00152365,14,15,2,15
S00152366,12,12,5,21
S00152367,15,13,3,22
S00152368,15,31,2,2
S00152369,15,16,1,16
S00152370,8,31,1,0
S00152371,27,16,9,2
S00152372,20,25,2,15
S00152373,23,21,3,8
S00152374,32,14,5,2
S00152375,28,21,1,13
S00152376,4,2,2,35
S00152377,25,20,2,2
S00152378,15,28,1,4
S00152379,13,12,2,19
S00152380,29,32,1,6
S00152381,29,36,1,7
S00152382,29,30,8,19
S00152383,14,23,3,27
S00152384,20,11,7,6
S00152385,20,8,3,18
S00152386,16,29,5,23
S00152387,23,10,0,0
S00152388,22,11,1,8
S00152389,11,16,7,8
S00152390,14,6,2,13
S00152391,27,5,3,0
S00152392,11,21,6,17
S00152393,22,8,4,13
S00152394,8,19,6,13
S00152395,24,28,6,2
S00152396,25,5,2,15
S00152397,20,13,6,21
S00152398,7,15,17,17
S00152399,15,19,4,36
S00152400,13,16,7,16
S00152401,47,21,1,3
S00152402,6,9,16,46
S00152403,13,34,19,6
S00152404,15,18,17,36
S00152405,18,21,6,12
S00152406,18,9,2,48
S00152407,19,7,2,1
S00152408,27,14,3,11
S00152409,24,39,1,0
S00152410,33,18,2,1
S00152411,12,9,3,18
S00152412,8,37,23,7
S00152413,27,7,2,0
S00152414,20,17,4,27
S00152415,38,18,4,11
S00152416,51,22,1,3
S00152417,7,2,3,34
S00152418,13,22,8,12
S00152419,18,35,1,0
S00152420,5,10,3,14
S00152421,2,5,12,54
S00152422,18,9,2,36
S00152423,9,5,4,41
S00152424,0,9,3,37
S00152425,5,11,5,23
S00152426,24,14,3,2
S00152427,30,21,6,2
S00152428,18,27,5,1
S00152429,18,17,2,2
S00152430,4,1,0,50
S00152431,14,12,1,16
S00152432,36,10,11,3
S00152433,17,8,13,3
S00152434,27,6,2,1
S00152435,8,8,4,12
S00152436,2,11,5,36
S00152437,9,19,7,3
S00152438,14,13,9,21
S00152439,16,16,13,17
S00152440,6,5,18,27
S00152441,12,2,8,59
S00152442,9,7,0,44
S00152443,36,4,13,1
S00152444,13,12,0,1
S00152445,21,15,5,0
S00152446,34,14,1,2
S00152447,10,16,4,43
S00152448,31,24,1,26
S00152449,13,44,10,1
S00152450,13,17,18,22
S00152451,37,31,1,2
S00152452,14,41,0,2
S00152453,32,17,9,2
S00152454,14,26,1,1
S00152455,3,21,0,2
S00152456,6,45,4,0
S00152457,7,1,5,37
S00152458,39,29,4,1
S00152459,22,27,2,3
S00152460,5,5,4,32
S00152461,11,29,3,1
S00152462,38,5,1,0
S00152463,16,44,10,2
S00152464,16,20,1,0
S00152465,21,6,1,0
S00152466,12,10,2,21
S00152467,5,12,4,25
S00152468,18,28,4,1
S00152469,21,10,1,34
S00152470,6,16,13,7
S00152471,4,5,4,25
S00152472,14,22,4,36
S00152473,13,22,2,22
S00152474,7,14,3,14
S00152475,19,8,2,37
S00152476,18,22,6,26
S00152477,10,9,5,44
S00152478,15,4,2,43
S00152479,22,16,7,31
S00152480,9,30,2,0
S00152481,26,23,12,8
S00152482,24,32,10,5
S00152483,20,15,0,10
S00152484,11,19,1,30
S00152485,2,9,35,9
S00152486,26,28,4,14
S00152487,16,9,5,29
S00152488,40,19,5,2
S00152489,32,14,1,18
S00152490,16,10,4,15
S00152491,14,16,3,24
S00152492,10,15,7,29
S00152493,13,13,0,13
S00152494,20,20,3,33
S00152495,1,8,3,46
S00152496,8,40,1,4
S00152497,8,11,12,35
S00152498,33,13,0,9
S00152499,25,51,4,1
S00152500,16,11,10,29
S00152501,24,17,2,1
S00152502,19,13,5,30
S00152503,27,21,8,14
S00152504,6,6,2,21
S00152505,22,9,1,9
S00152506,5,6,0,37
S00152507,20,30,2,3
S00152508,16,13,4,15
S00152509,9,4,2,63
S00152510,18,9,2,21
S00152511,8,3,10,20
S00152512,2,6,3,38
S00152513,2,6,2,19
S00152514,5,5,1,36
S00152515,12,24,0,0
S00152516,10,19,6,27
S00152517,21,17,0,2
S00152518,8,5,4,51
S00152519,13,7,1,42
S00152520,7,3,1,40
S00152521,13,7,11,24
S00152522,6,6,8,52
S00152523,16,13,4,11
S00152524,26,42,2,1
S00152525,28,35,2,4
S00152526,14,17,3,10
S00152527,11,9,3,15
S00152528,25,45,0,0
S00152529,22,4,0,15
S00152530,37,20,1,2
S00152531,22,11,14,6
S00152532,19,32,1,5
S00152533,3,9,2,25
S00152534,6,5,1,60
S00152535,25,9,0,2
S00152536,14,10,0,12
S00152537,12,33,2,1
S00152538,37,16,3,0
S00152539,9,14,5,8
S00152540,10,15,5,38
S00152541,18,13,3,12
S00152542,28,10,1,2
S00152543,2,1,1,63
S00152544,11,14,2,11
S00152545,4,7,4,33
S00152546,33,16,0,1
S00152547,21,14,8,23
S00152548,26,21,1,1
S00152549,27,19,3,0
S00152550,2,6,9,31
S00152551,17,9,10,11
S00152552,20,9,5,10
S00152553,25,13,3,12
S00152554,4,12,16,4
S00152555,11,32,2,2
S00152556,15,11,6,3
S00152557,1,11,33,10
S00152558,1,5,0,31
S00152559,30,9,2,10
S00152560,35,20,2,0
S00152561,3,7,1,26
S00152562,11,41,2,1
S00152563,9,16,1,0
S00152564,4,6,2,31
S00152565,3,1,1,51
S00152566,24,23,0,5
S00152567,8,15,5,19
S00152568,19,24,6,2
S00152569,28,22,8,0
S00152570,6,13,16,26
S00152571,13,26,12,1
S00152572,33,9,1,0
S00152573,6,6,6,14
S00152574,23,12,5,3
S00152575,20,16,5,38
S00152576,19,23,17,19
S00152577,19,12,7,6
S00152578,11,16,5,13
S00152579,17,15,5,44
S00152580,23,9,21,9
S00152581,18,17,6,24
S00152582,21,12,0,10
S00152583,2,2,0,44
S00152584,15,23,2,1
S00152585,29,31,6,12
S00152586,16,14,6,15
S00152587,16,27,13,6
S00152588,7,50,0,2
S00152589,3,54,4,2
S00152590,8,33,1,2
S00152591,24,24,5,8
S00152592,23,15,3,2
S00152593,8,33,1,2
S00152594,5,11,32,2
S00152595,23,8,10,3
S00152596,37,13,2,0
S00152597,22,19,1,0
S00152598,12,11,6,22
S00152599,21,23,13,1
S00152600,15,7,0,22
S00152601,22,17,3,0
S00152602,27,33,1,2
S00152603,9,10,20,1
S00152604,22,5,8,19
S00152605,1,70,2,0
S00152606,11,30,2,0
S00152607,18,9,12,13
S00152608,7,8,4,20
S00152609,12,19,4,2
S00152610,7,5,7,22
S00152611,8,48,3,1
S00152612,8,12,5,22
S00152613,46,20,3,5
S00152614,31,33,2,1
S00152615,18,37,1,3
S00152616,9,52,3,0
S00152617,26,12,5,13
S00152618,16,12,1,17
S00152619,32,25,5,13
S00152620,26,26,4,4
S00152621,18,12,17,3
S00152622,11,3,7,39
S00152623,22,10,5,2
S00152624,9,9,8,15
S00152625,16,13,5,6
S00152626,21,13,6,17
S00152627,14,34,18,6
S00152628,36,26,1,2
S00152629,0,0,10,60
S00152630,31,18,0,1
S00152631,30,15,4,2
S00152632,17,3,1,18
S00152633,21,34,12,4
S00152634,9,4,16,31
S00152635,46,32,2,4
S00152636,14,20,1,26
S00152637,23,18,7,39
S00152638,8,25,19,12
S00152639,14,28,1,1
S00152640,16,19,12,10
S00152641,8,49,2,1
S00152642,5,6,20,30
S00152643,20,11,5,10
S00152644,39,15,0,3
S00152645,20,11,2,21
S00152646,7,6,1,23
S00152647,23,22,10,2
S00152648,7,9,4,14
S00152649,19,14,3,1
S00152650,2,5,1,51
S00152651,12,22,5,13
S00152652,13,44,1,1
S00152653,27,16,22,9
S00152654,17,12,3,6
S00152655,5,5,1,22
S00152656,10,24,3,1
S00152657,7,9,7,20
S00152658,15,16,8,1
S00152659,8,10,5,18
S00152660,20,25,4,0
S00152661,28,17,3,2
S00152662,30,20,4,7
S00152663,14,6,3,15
S00152664,18,14,9,10
S00152665,6,9,2,25
S00152666,16,24,9,1
S00152667,7,28,2,1
S00152668,13,12,4,21
S00152669,21,26,3,3
S00152670,4,10,7,26
S00152671,21,11,1,22
S00152672,9,11,0,22
S00152673,12,18,2,1
S00152674,13,11,8,11
S00152675,16,8,4,23
S00152676,10,4,5,22
S00152677,43,23,7,7
S00152678,14,14,2,5
S00152679,27,17,6,7
S00152680,15,19,5,4
S00152681,7,21,14,35
S00152682,21,22,1,1
S00152683,28,14,1,1
S00152684,15,19,15,0
S00152685,12,65,1,1
S00152686,27,22,4,2
S00152687,35,33,4,8
S00152688,6,6,17,17
S00152689,5,41,2,0
S00152690,8,11,7,7
S00152691,31,14,0,2
S00152692,19,24,6,6
S00152693,24,39,8,3
S00152694,34,13,1,0
S00152695,11,6,7,25
S00152696,26,11,0,2
S00152697,33,27,10,3
S00152698,12,16,6,7
S00152699,15,16,6,9
S00152700,13,13,0,10
S00152701,4,53,7,1
S00152702,16,6,1,16
S00152703,22,15,9,3
S00152704,17,26,3,4
S00152705,32,13,8,17
S00152706,27,25,7,1
S00152707,26,23,0,4
S00152708,8,15,5,31
S00152709,13,24,27,0
S00152710,17,5,3,11
S00152711,29,35,7,10
S00152712,21,15,1,12
S00152713,5,12,4,43
S00152714,19,31,22,2
S00152715,15,15,11,20
S00152716,25,9,5,4
S00152717,26,10,3,4
S00152718,21,10,2,12
S00152719,34,16,3,1
S00152720,16,32,4,2
S00152721,31,21,5,10
S00152722,12,5,5,49
S00152723,17,16,1,0
S00152724,9,36,10,2
S00152725,28,16,1,2
S00152726,41,21,2,1
S00152727,13,15,2,12
S00152728,2,2,10,50
S00152729,11,31,9,4
S00152730,26,23,4,16
S00152731,7,37,0,24
S00152732,14,19,1,3
S00152733,2,3,3,42
S00152734,18,32,6,11
S00152735,33,28,2,0
S00152736,16,9,2,19
S00152737,6,5,4,27
S00152738,3,0,6,32
S00152739,21,23,1,0
S00152740,21,10,0,5
S00152741,32,32,9,4
S00152742,13,23,3,4
S00152743,9,13,6,53
S00152744,23,23,3,1
S00152745,10,14,10,2
S00152746,15,10,1,19
S00152747,20,7,4,10
S00152748,25,20,1,11
S00152749,3,7,0,21
S00152750,8,17,3,0
S00152751,1,6,3,36
S00152752,7,0,7,71
S00152753,11,13,0,15
S00152754,19,10,1,36
S00152755,8,11,23,19
S00152756,22,27,8,15
S00152757,6,9,6,20
S00152758,6,2,8,38
S00152759,14,19,1,23
S00152760,16,13,2,1
S00152761,22,11,6,28
S00152762,13,21,4,4
S00152763,27,35,4,0
S00152764,11,12,3,30
S00152765,3,9,2,14
S00152766,17,16,7,7
S00152767,17,13,6,21
S00152768,16,14,3,11
S00152769,16,16,3,15
S00152770,10,15,18,4
S00152771,0,4,3,26
S00152772,17,21,2,19
S00152773,23,16,4,39
S00152774,21,18,3,14
S00152775,32,28,2,12
S00152776,20,16,1,3
S00152777,4,7,3,35
S00152778,41,9,2,2
S00152779,6,7,4,24
S00152780,3,9,2,46
S00152781,14,7,3,30
S00152782,19,49,7,0
S00152783,10,1,0,36
S00152784,37,22,12,10
S00152785,16,14,6,47
S00152786,21,14,3,18
S00152787,38,14,3,2
S00152788,21,24,20,11
S00152789,6,12,3,31
S00152790,9,11,4,16
S00152791,15,12,5,11
S00152792,3,2,1,56
S00152793,17,16,36,6
S00152794,16,22,5,38
S00152795,16,11,3,10
S00152796,21,20,9,18
S00152797,21,13,1,8
S00152798,7,7,3,36
S00152799,12,29,13,3
S00152800,12,7,6,32
S00152801,9,6,5,35
S00152802,26,4,5,13
S00152803,9,18,2,17
S00152804,15,4,0,13
S00152805,10,14,6,27
S00152806,19,42,7,3
S00152807,24,15,2,2
S00152808,30,43,5,2
S00152809,17,12,0,12
S00152810,14,34,15,4
S00152811,17,14,4,24
S00152812,4,5,5,18
S00152813,11,17,5,7
S00152814,14,11,2,34
S00152815,14,14,1,8
S00152816,11,16,2,9
S00152817,12,12,4,18
S00152818,16,20,3,0
S00152819,15,13,4,13
S00152820,10,4,3,22
S00152821,21,15,3,17
S00152822,21,11,7,17
S00152823,0,4,1,30
S00152824,4,5,3,44
S00152825,8,10,4,17
S00152826,5,5,9,23
S00152827,19,18,4,10
S00152828,26,13,3,23
S00152829,9,17,10,28
S00152830,1,21,2,12
S00152831,18,16,2,24
S00152832,10,11,7,45
S00152833,7,6,0,29
S00152834,9,15,5,29
S00152835,13,10,1,15
S00152836,8,14,8,16
S00152837,27,23,12,1
S00152838,12,10,7,26
S00152839,14,8,1,49
S00152840,6,10,18,7
S00152841,12,7,3,22
S00152842,4,7,2,39
S00152843,22,11,6,2
S00152844,9,11,6,17
S00152845,10,11,3,18
S00152846,14,10,2,14
S00152847,11,19,1,21
S00152848,21,17,2,10
S00152849,9,3,0,48
S00152850,16,16,4,29
S00152851,25,8,3,20
S00152852,19,6,1,1
S00152853,9,17,2,17
S00152854,18,12,2,23
S00152855,24,28,13,22
S00152856,4,5,7,56
S00152857,9,5,1,30
S00152858,25,16,1,7
S00152859,16,11,3,8
S00152860,8,6,20,47
S00152861,13,12,2,18
S00152862,4,13,5,13
S00152863,5,5,1,48
S00152864,28,26,3,0
S00152865,13,16,1,10
S00152866,12,11,3,12
S00152867,19,19,3,5
S00152868,5,10,2,21
S00152869,14,11,1,24
S00152870,19,12,4,10
S00152871,9,20,4,16
S00152872,11,10,3,38
S00152873,4,6,5,24
S00152874,8,4,17,33
S00152875,7,9,2,7
S00152876,3,4,5,18
S00152877,12,19,3,5
S00152878,14,14,4,24
S00152879,22,6,1,22
S00152880,11,14,3,27
S00152881,13,16,5,16
S00152882,4,11,6,29
S00152883,9,8,1,10
S00152884,3,5,1,37
S00152885,11,13,3,27
S00152886,11,16,0,25
S00152887,44,10,1,11
S00152888,15,9,1,12
S00152889,21,17,7,12
S00152890,7,4,13,25
S00152891,17,11,3,9
S00152892,11,13,12,16
S00152893,3,7,7,38
S00152894,3,10,6,35
S00152895,3,4,10,41
S00152896,15,11,7,42
S00152897,17,9,3,13
S00152898,5,4,8,39
S00152899,15,11,4,24
S00152900,10,19,7,37
S00152901,26,15,0,28
S00152902,9,8,1,17
S00152903,4,7,35,29
S00152904,16,17,1,22
S00152905,3,4,9,31
S00152906,7,7,4,47
S00152907,8,8,14,24
S00152908,16,22,1,14
S00152909,13,19,3,11
S00152910,16,13,1,18
S00152911,11,8,2,15
S00152912,49,5,13,5
S00152913,14,8,9,28
S00152914,18,22,3,16
S00152915,6,10,1,39
S00152916,31,15,5,8
S00152917,8,5,6,60
S00152918,1,1,6,37
S00152919,25,23,3,24
S00152920,5,39,5,29
S00152921,2,3,2,39
S00152922,14,11,3,19
S00152923,38,18,4,12
S00152924,31,33,2,1
S00152925,14,14,5,4
S00152926,10,10,2,14
S00152927,14,11,2,14
S00152928,10,5,0,34
S00152929,18,17,3,15
S00152930,7,22,4,6
S00152931,26,16,3,18
S00152932,6,5,4,33
S00152933,38,26,15,7
S00152934,18,9,15,1
S00152935,9,15,25,27
S00152936,1,1,1,68
S00152937,8,11,3,11
S00152938,11,17,2,26
S00152939,6,9,4,42
S00152940,15,7,14,24
S00152941,29,22,1,2
S00152942,15,12,5,17
S00152943,6,4,16,35
S00152944,16,19,46,2
S00152945,22,17,3,13
S00152946,3,2,2,62
S00152947,28,15,2,26
S00152948,10,14,3,5
S00152949,13,10,7,31
S00152950,7,18,4,18
S00152951,30,9,7,41
S00152952,5,3,2,28
S00152953,20,15,7,18
S00152954,27,14,0,1
S00152955,3,7,0,31
S00152956,27,10,1,17
S00152957,15,17,2,16
S00152958,4,11,5,22
S00152959,12,18,4,22
S00152960,8,10,4,11
S00152961,7,70,4,4
S00152962,4,6,4,51
S00152963,14,12,4,2
S00152964,11,9,0,8
S00152965,30,21,2,1
S00152966,30,23,4,1
S00152967,10,7,4,28
S00152968,21,22,1,9
S00152969,13,12,2,26
S00152970,23,19,8,18
S00152971,27,14,4,25
S00152972,12,3,1,19
S00152973,13,13,3,8
S00152974,17,24,3,23
S00152975,15,5,4,34
S00152976,5,8,3,23
S00152977,30,11,3,9
S00152978,25,14,1,1
S00152979,32,10,1,3
S00152980,20,18,16,26
S00152981,34,20,2,5
S00152982,9,19,33,5
S00152983,30,17,0,0
S00152984,23,23,3,11
S00152985,7,11,26,13
S00152986,24,14,0,6
S00152987,27,19,5,26
S00152988,21,32,1,0
S00152989,41,12,2,3
S00152990,12,19,1,14
S00152991,17,11,16,1
S00152992,20,12,8,48
S00152993,17,18,5,6
S00152994,24,20,2,6
S00152995,26,10,5,13
S00152996,5,1,4,52
S00152997,27,19,1,7
S00152998,23,24,5,0
S00152999,20,14,8,45
S00153000,6,9,5,49
S00153001,15,8,5,21
S00153002,29,18,5,4
S00153003,6,7,41,0
S00153004,42,12,2,19
S00153005,11,20,3,21
S00153006,31,22,8,10
S00153007,24,5,8,33
S00153008,22,19,2,9
S00153009,17,48,4,2
S00153010,8,6,23,22
S00153011,23,28,4,10
S00153012,44,24,1,1
S00153013,30,16,4,1
S00153014,9,9,0,17
S00153015,11,11,10,26
S00153016,3,11,3,20
S00153017,27,24,3,15
S00153018,22,13,37,1
S00153019,10,18,1,15
S00153020,13,31,0,4
S00153021,36,20,9,3
S00153022,15,23,7,11
S00153023,18,6,6,32
S00153024,24,40,1,0
S00153025,7,20,5,38
S00153026,16,34,4,2
S00153027,28,11,3,14
S00153028,37,25,2,0
S00153029,16,54,3,0
S00153030,1,3,1,45
S00153031,15,21,0,22
S00153032,5,5,6,28
S00153033,44,25,0,0
S00153034,16,10,3,19
S00153035,25,18,6,15
S00153036,22,20,2,21
S00153037,7,3,15,30
S00153038,44,8,0,5
S00153039,12,14,3,0
S00153040,18,9,2,15
S00153041,27,19,4,10
S00153042,21,47,3,2
S00153043,38,15,1,3
S00153044,4,4,5,28
S00153045,15,64,2,1
S00153046,23,13,6,2
S00153047,17,9,11,8
S00153048,23,9,4,18
S00153049,10,12,3,21
S00153050,19,19,4,12
S00153051,24,14,7,17
S00153052,54,19,0,1
S00153053,5,15,0,44
S00153054,19,22,1,7
S00153055,17,18,1,34
S00153056,12,15,11,41
S00153057,18,30,3,10
S00153058,6,15,45,2
S00153059,37,20,1,17
S00153060,17,20,2,11
S00153061,18,6,2,26
S00153062,17,21,1,13
S00153063,27,16,11,1
S00153064,28,11,0,2
S00153065,30,8,0,0
S00153066,14,2,10,56
S00153067,14,10,3,21
S00153068,9,18,21,12
S00153069,32,24,1,2
S00153070,37,14,10,2
S00153071,13,20,7,15
S00153072,6,9,1,25
S00153073,10,10,34,4
S00153074,24,19,7,3
S00153075,13,12,4,12
S00153076,28,16,2,0
S00153077,26,16,1,21
S00153078,19,19,3,1
S00153079,33,11,0,0
S00153080,22,15,6,11
S00153081,12,25,4,5
S00153082,6,7,3,29
S00153083,5,14,6,43
S00153084,15,12,6,6
S00153085,26,17,9,5
S00153086,13,8,4,8
S00153087,35,17,1,1
S00153088,23,10,2,7
S00153089,40,8,1,1
S00153090,29,17,3,21
S00153091,6,16,2,25
S00153092,17,4,30,1
S00153093,29,19,1,3
S00153094,10,27,12,25
S00153095,22,16,0,0
S00153096,25,12,2,31
S00153097,22,16,1,17
S00153098,12,27,27,10
S00153099,30,21,1,3
S00153100,21,21,3,19
S00153101,8,11,5,23
S00153102,30,16,0,2
S00153103,46,20,3,2
S00153104,28,21,6,21
S00153105,15,25,3,20
S00153106,1,6,6,39
S00153107,11,2,2,16
S00153108,22,15,8,19
S00153109,10,14,2,1
S00153110,34,41,1,0
S00153111,14,11,17,19
S00153112,33,21,3,14
S00153113,31,14,1,2
S00153114,28,18,13,11
S00153115,26,17,1,2
S00153116,15,8,21,5
S00153117,22,18,2,0
S00153118,15,12,1,13
S00153119,15,16,14,3
S00153120,22,20,3,18
S00153121,25,28,9,1
S00153122,23,13,4,10
S00153123,12,11,1,8
S00153124,22,20,0,1
S00153125,17,10,1,24
S00153126,11,11,6,17
S00153127,20,18,1,10
S00153128,1,0,0,71
S00153129,20,9,1,30
S00153130,41,20,11,3
S00153131,28,14,9,1
S00153132,21,25,7,12
S00153133,48,18,2,10
S00153134,25,10,7,20
S00153135,13,8,2,19
S00153136,17,12,1,30
S00153137,36,32,0,3
S00153138,7,8,26,31
S00153139,22,19,5,12
S00153140,14,14,11,7
S00153141,3,1,0,73
S00153142,12,17,7,21
S00153143,12,11,11,9
S00153144,35,22,1,1
S00153145,13,6,19,8
S00153146,24,11,3,10
S00153147,30,16,18,3
S00153148,13,27,13,2
S00153149,15,10,4,8
S00153150,17,18,3,5
S00153151,10,20,2,35
S00153152,11,2,1,68
S00153153,14,14,1,19
S00153154,8,11,3,51
S00153155,16,21,4,7
S00153156,21,16,1,15
S00153157,23,22,3,25
S00153158,7,1,1,75
S00153159,8,13,11,4
S00153160,26,15,5,10
S00153161,22,7,3,19
S00153162,16,15,0,1
S00153163,11,0,1,73
S00153164,19,11,38,4
S00153165,8,10,4,15
S00153166,29,11,0,3
S00153167,13,1,3,71
S00153168,6,16,4,20
S00153169,18,42,2,15
S00153170,17,13,2,28
S00153171,26,32,10,2
S00153172,0,3,5,36
S00153173,17,11,7,41
S00153174,14,0,2,67
S00153175,30,20,0,2
S00153176,16,21,44,1
S00153177,12,15,4,15
S00153178,11,13,1,18
S00153179,13,25,29,6
S00153180,18,20,2,8
S00153181,25,20,1,11
S00153182,5,11,1,24
S00153183,31,22,8,3
S00153184,48,16,1,3
S00153185,10,11,3,14
S00153186,21,27,5,17
S00153187,9,34,24,2
S00153188,20,15,4,24
S00153189,24,15,3,5
S00153190,24,10,1,2
S00153191,14,1,3,66
S00153192,8,12,3,15
S00153193,7,10,10,36
S00153194,13,17,0,1
S00153195,38,29,0,0
S00153196,34,16,0,8
S00153197,13,11,5,23
S00153198,26,23,0,3
S00153199,27,28,5,7
S00153200,43,17,0,1
S00153201,9,0,1,73
S00153202,14,61,2,1
S00153203,20,9,2,5
S00153204,18,43,1,13
S00153205,8,3,1,17
S00153206,25,19,1,0
S00153207,19,19,17,24
S00153208,31,16,0,2
S00153209,26,42,6,2
S00153210,21,10,3,15
S00153211,18,21,6,1
S00153212,35,18,0,2
S00153213,13,7,7,22
S00153214,10,7,3,47
S00153215,8,17,5,31
S00153216,11,49,6,3
S00153217,27,22,4,0
S00153218,2,2,1,68
S00153219,24,5,0,0
S00153220,9,0,1,73
S00153221,15,16,0,22
S00153222,17,17,1,7
S00153223,9,15,6,20
S00153224,32,17,1,18
S00153225,39,16,1,1
S00153226,14,11,2,47
S00153227,48,26,5,5
S00153228,19,23,2,13
S00153229,22,25,3,16
S00153230,21,17,21,2
S00153231,16,48,1,4
S00153232,22,45,2,12
S00153233,10,0,1,69
S00153234,0,1,1,69
S00153235,18,13,3,29
S00153236,11,9,6,16
S00153237,16,13,1,0
S00153238,13,14,5,25
S00153239,13,13,3,25
S00153240,12,11,2,26
S00153241,14,47,3,4
S00153242,41,9,2,12
S00153243,30,5,0,1
S00153244,10,5,3,28
S00153245,13,2,1,24
S00153246,13,11,1,15
S00153247,26,11,1,2
S00153248,11,9,4,9
S00153249,27,13,1,3
S00153250,24,25,1,18
S00153251,12,5,1,27
S00153252,11,22,4,29
S00153253,13,9,2,9
S00153254,48,10,4,2
S00153255,11,3,3,30
S00153256,17,26,6,3
